dteday,season,year,month,hr,holiday,day,weather_situation,casual,registered,count_cr,Kategori,periode
2011-01-01,Spring,2011,Jan,0,0,Saturday,Clear,3,13,16,Weekend,Malam
2011-01-01,Spring,2011,Jan,1,0,Saturday,Clear,8,32,40,Weekend,Malam
2011-01-01,Spring,2011,Jan,2,0,Saturday,Clear,5,27,32,Weekend,Malam
2011-01-01,Spring,2011,Jan,3,0,Saturday,Clear,3,10,13,Weekend,Malam
2011-01-01,Spring,2011,Jan,4,0,Saturday,Clear,0,1,1,Weekend,Malam
2011-01-01,Spring,2011,Jan,5,0,Saturday,Misty,0,1,1,Weekend,Malam
2011-01-01,Spring,2011,Jan,6,0,Saturday,Clear,2,0,2,Weekend,Pagi
2011-01-01,Spring,2011,Jan,7,0,Saturday,Clear,1,2,3,Weekend,Pagi
2011-01-01,Spring,2011,Jan,8,0,Saturday,Clear,1,7,8,Weekend,Pagi
2011-01-01,Spring,2011,Jan,9,0,Saturday,Clear,8,6,14,Weekend,Pagi
2011-01-01,Spring,2011,Jan,10,0,Saturday,Clear,12,24,36,Weekend,Pagi
2011-01-01,Spring,2011,Jan,11,0,Saturday,Clear,26,30,56,Weekend,Pagi
2011-01-01,Spring,2011,Jan,12,0,Saturday,Clear,29,55,84,Weekend,Siang
2011-01-01,Spring,2011,Jan,13,0,Saturday,Misty,47,47,94,Weekend,Siang
2011-01-01,Spring,2011,Jan,14,0,Saturday,Misty,35,71,106,Weekend,Siang
2011-01-01,Spring,2011,Jan,15,0,Saturday,Misty,40,70,110,Weekend,Siang
2011-01-01,Spring,2011,Jan,16,0,Saturday,Misty,41,52,93,Weekend,Sore
2011-01-01,Spring,2011,Jan,17,0,Saturday,Misty,15,52,67,Weekend,Sore
2011-01-01,Spring,2011,Jan,18,0,Saturday,Light_rainsnow,9,26,35,Weekend,Sore
2011-01-01,Spring,2011,Jan,19,0,Saturday,Light_rainsnow,6,31,37,Weekend,Malam
2011-01-01,Spring,2011,Jan,20,0,Saturday,Misty,11,25,36,Weekend,Malam
2011-01-01,Spring,2011,Jan,21,0,Saturday,Misty,3,31,34,Weekend,Malam
2011-01-01,Spring,2011,Jan,22,0,Saturday,Misty,11,17,28,Weekend,Malam
2011-01-01,Spring,2011,Jan,23,0,Saturday,Misty,15,24,39,Weekend,Malam
2011-01-02,Spring,2011,Jan,0,0,Sunday,Misty,4,13,17,Weekend,Malam
2011-01-02,Spring,2011,Jan,1,0,Sunday,Misty,1,16,17,Weekend,Malam
2011-01-02,Spring,2011,Jan,2,0,Sunday,Misty,1,8,9,Weekend,Malam
2011-01-02,Spring,2011,Jan,3,0,Sunday,Misty,2,4,6,Weekend,Malam
2011-01-02,Spring,2011,Jan,4,0,Sunday,Misty,2,1,3,Weekend,Malam
